PSRJ,GL,P1,RAJ_ERR,ELONG,DECJ,BSURF,PMDEC_ERR,PMELONG,DM,PML,P0_ERR,PMELAT_ERR,P1_ERR,PX,AGE,PMELAT,DECJD,POSEPOCH,DECJ_ERR,PX_ERR,RAJD_ERR,PMDEC,GB,DIST,PMELONG_ERR,PMRA_ERR,PMB,ELONG_ERR,PMRA,BNAME,RAJD,P0,ELAT,DM_ERR,DECJD_ERR,EDOT,ELAT_ERR,RAJ
J0002+6216,117.32662797474389,5.967032590337773e-15,0.02,37.546573578880626,+62:16:09.4,839582781928.5583,0.6,14.610673733493655,218.6,29.368417435135772,1.3308752883520106e-12,,6.654376441774295e-20,0.6,306320.673338943,-32.10090673257375,62.26927777777777,55806.0,0.1,0.5,8.333333333333333e-05,-13.7,-0.07382051303478884,6.357,,0.6,-19.53038804928394,,32.5,,0.742375,0.11536356826797663,54.06720013993783,0.6,2.777777777777778e-05,1.5343064289991659e+35,,00:02:58.17
J0006+1834,108.17213576608742,2.097e-15,0.2,8.985694315377376,+18:34:59,1220534516244.42,,,11.41,,,,1.2e-17,,5241666.081260601,,18.583055555555557,,4.0,,0.0008333333333333333,,-42.98498835673796,0.86,,,,,,,1.52,0.693748,16.402357412457953,,0.0011111111111111111,2.479436184017862e+32,,00:06:04.8
J0007+7303,119.65960124251046,3.6039045219052865e-13,0.2,53.14527529181808,+73:03:07.4,10796748883638.508,,,,,2.993276180984457e-10,,4.9887936354416684e-17,,13886.907032358007,,73.05205555555555,54952.0,0.8,,0.0008333333333333333,,10.463078521386445,1.4,,,,,,,1.757083333333333,0.3158731908527248,60.93633703176864,,0.00022222222222222223,4.514344633110194e+35,,00:07:01.7
J0011+08,106.22826909267508,,31.0,5.909130212915418,+08:10,,,,24.9,,,,,,,,8.166666666666666,57022.0,8.0,,0.12916666666666665,,-53.40705009164143,5.399,,,,,,,2.891666666666666,2.55287,6.342273252834495,,0.13333333333333333,,,00:11:34
J0012+5431,117.2305228363795,1.2813422140061522e-16,0.1,31.32861443677026,+54:31:40,630038110115.9003,,,131.3,,1.8304888771516458e-10,,,,374084274.72983634,,54.52777777777778,59128.0,9.0,,0.00041666666666666664,,-7.911119965891554,5.427,,,,,,,3.097083333333333,3.0253007099721887,47.283826916296206,0.7,0.0025,1.826918708078064e+29,,00:12:23.3
J0014+4746,116.49729957476639,5.644584230506426e-16,0.04,26.403272052951404,47:46:33.4,846835742960.678,1.5,5.920312260193956,30.405,16.162448816032445,1.077533873668357e-11,,1.3854006947164625e-19,,34825753.759158485,-26.93566228518982,47.77594444444444,49664.0,0.3,,0.00016666666666666666,-19.7,-14.631218964700913,1.776,,1.8,-22.346258037289637,,19.3,B0011+47,3.5739583333333327,1.2406990389455896,41.510116887772284,0.013,8.333333333333333e-05,1.1667890839703214e+31,,00:14:17.75
J0021-0909,100.29090340385065,1.0389090898677685e-15,0.03,1.3341967482453843,-09:09:58.7,1569035267536.3406,,,25.2,,1.6065604482491265e-10,,1.6065604482491266e-17,,35292010.45628495,,-9.166305555555557,58388.0,1.1,,0.000125,,-70.72645630325353,25.0,,,,,,,5.464458333333333,2.314130829094102,-10.576693041712957,1.0,0.0003055555555555556,3.3095851448655936e+30,,00:21:51.47
J0023+0923,111.38310088154316,1.1423447047080355e-20,1e-05,9.070390815,+09:23:23.8902,188891729.98731816,0.1,-13.86,14.326553,-12.408389844928482,3.7214955921013285e-18,0.17,1.3955608470379984e-25,0.55,4230557704.5058527,-0.7,9.3899695,56845.0,0.0005,0.13,4.166666666666666e-08,-8.8,-52.84925642478851,1.8181686000541093,0.018,0.07,-6.668722625531517,8e-09,-11.0,,5.820334458333333,0.00305020310475439,6.30910834,4e-06,1.3888888888888888e-07,1.5891710071789385e+34,7e-08,00:23:16.88027
J0024-7204C,305.92345709940463,-4.9850295447175405e-20,0.0001,311.2410795856066,-72:04:31.5048,,0.03,0.5756181590105189,24.5909,-5.574707541492208,1.3256206366710872e-16,,1.988430955006631e-24,0.232,,-5.808068847303495,-72.075418,51600.0,0.0004,0.009,4.1666666666666667e-07,-2.55,-44.89218142206793,4.52,,0.03,1.7284778930694729,,5.25,B0021-72C,5.959810833333333,0.005756779995516346,-62.332972124139275,0.0003,1.1111111111111112e-07,,,00:23:50.3546
J0024-7204D,305.88063049431577,-3.422042178952725e-21,6e-05,311.26877234118007,-72:04:43.8524,,0.03,0.5686495980177426,24.7412,-5.570969027709806,8.611077450812091e-17,,8.611077450812091e-25,0.232,,-5.808755256909543,-72.07884788888889,51600.0,0.0002,0.009,2.5e-07,-2.55,-44.89331073173036,4.52,,0.03,1.740489612809571,,5.25,B0021-72D,6.057837166666666,0.00535757328486573,-62.36047802125629,0.0003,5.555555555555556e-08,,,00:24:13.88092
J0024-7204E,305.8834771308858,9.85103008512741e-20,5e-05,311.24623279594135,-72:05:20.1492,597265104.5538365,0.03,0.5677408773051669,24.2396,-5.57136419222271,3.751687163003249e-17,,5.002249550670998e-25,0.232,568770513.1528759,-5.808844144598541,-72.08893033333332,51600.0,0.0002,0.009,2.0833333333333333e-07,-2.55,-44.88281094171397,4.52,,0.03,1.7392242631755614,,5.25,B0021-72E,6.046271999999999,0.003536329152762437,-62.362711383196086,0.0002,5.555555555555556e-08,8.793936763028002e+34,,00:24:11.10528
J0024-7204F,305.8986319492833,6.450286144485997e-20,0.0001,311.25482078890445,-72:04:42.8183,416280982.60174,0.03,0.5714260866982319,24.3841,-5.572560009920314,3.4415843094652696e-17,,6.883168618930539e-25,0.232,644438177.2160743,-5.808482781883816,-72.07856063888889,51600.0,0.0002,0.009,4.1666666666666667e-07,-2.55,-44.89167646582814,4.52,,0.03,1.7353889868951202,,5.25,B0021-72F,6.016064458333333,0.0026235793525126202,-62.349369473613216,0.0003,5.555555555555556e-08,1.410120105030878e+35,,00:24:03.85547
J0024-7204G,305.8914688900568,-4.215844380835048e-20,0.0001,311.2623398781263,-72:04:39.7030,,0.03,0.5704515338802705,24.4343,-5.5719136031880225,1.305973089900499e-16,,1.6324663623756235e-24,0.232,,-5.808578573755685,-72.07769527777778,51600.0,0.0005,0.009,4.1666666666666667e-07,-2.55,-44.8933189688226,4.52,,0.03,1.73746332295339,,5.25,B0021-72G,6.033167916666667,0.004040379143565148,-62.35340359829526,0.0002,1.3888888888888888e-07,,,00:24:07.9603
J0024-7204H,305.89564648477227,-1.8293660259448614e-21,0.0002,311.27730822512876,-72:04:06.8067,,0.03,0.5723009184371155,24.375,-5.57215409380054,1.0306287470111894e-16,,1.0306287470111894e-24,0.232,,-5.808396651293371,-72.06855741666666,51600.0,0.0006,0.009,8.333333333333333e-07,-2.55,-44.90211342948869,4.52,,0.03,1.736691899831941,,5.25,B0021-72H,6.02793,0.0032103407093503167,-62.347251433557446,0.0009,1.6666666666666665e-07,,,00:24:06.7032
J0024-7204I,305.8915159636917,-4.587352036000304e-20,0.0002,311.2623138728999,-72:04:39.6815,,0.03,0.570459487505997,24.4303,-5.571917688322058,1.2145169669853337e-16,,2.4290339339706677e-24,0.232,,-5.808577792636882,-72.07768930555555,51600.0,0.0007,0.009,8.333333333333333e-07,-2.55,-44.89331997262726,4.52,,0.03,1.7374502221829864,,5.25,B0021-72I,6.033061249999999,0.0034849920616628867,-62.353372493828125,0.0003,1.9444444444444445e-07,,,00:24:07.9347
J0024-7204J,305.9091820638315,-9.791695406637457e-21,0.0001,311.2708474083511,-72:03:58.7908,,0.03,0.5746526417226812,24.5937,-5.573319082277198,4.412661291860053e-17,,8.825322583720107e-25,0.232,,-5.808164455433502,-72.06633077777778,51600.0,0.0005,0.009,4.1666666666666667e-07,-2.55,-44.90291297630924,4.52,,0.03,1.7329496262513837,,5.25,B0021-72J,5.997532083333334,0.0021006335453524617,-62.338110155250924,0.0005,1.3888888888888888e-07,,,00:23:59.4077
